player,cfg3_per_g,cfg3a_per_g,cfg3,cfg3a,cfg3_pct,cft,cfta,cft_pct,cts_pct,cefg_pct,cfg3a_per_fga_pct,cusg_pct,fg3,fg3a,fg3_pct
Taj Gibson,0,0,0,0,#VALUE!,303,482,0.628630705394191,0.597,0.58,0,19.2,26,118,0.22
Lance Thomas,0,0,0,0,#VALUE!,177,295,0.6,0.55,0.525,0,13.4,165,433,0.381
Marreese Speights,0,0,0,0,#VALUE!,110,160,0.6875,0.647,0.633,0,,232,651,0.356
Derrick Williams,0.7,1.3,46,90,0.511111111111111,405,563,0.719360568383659,0.66,0.621,0.136,27.9,251,838,0.3
Robin Lopez,0,0,1,2,0.5,128,209,0.61244019138756,0.535,0.512,0.004,21.1,46,156,0.295
Noah Vonleh,0.5,1.1,16,33,0.484848484848485,96,134,0.716417910447761,0.604,0.56,0.153,21.4,92,297,0.31
Zach Collins,0.3,0.5,10,21,0.476190476190476,110,148,0.743243243243243,0.703,0.676,0.101,24.8,82,253,0.324
Doron Lamb,1.8,3.9,144,303,0.475247524752475,202,249,0.811244979919679,0.627,0.589,0.437,19.9,50,127,0.394
T.J. Leaf,0.8,1.7,27,58,0.46551724137931,72,106,0.679245283018868,0.66,0.652,0.152,22,31,91,0.341
Kyrie Irving,1.6,3.5,18,39,0.461538461538462,64,71,0.901408450704225,0.697,0.615,0.375,26.4,1119,2870,0.39
Doug McDermott,1.9,4.1,274,598,0.45819397993311,594,715,0.830769230769231,0.652,0.616,0.288,32.3,504,1224,0.412
Sterling Brown,0.9,2.1,128,284,0.450704225352113,194,252,0.76984126984127,0.616,0.586,0.363,16.7,129,374,0.345
Nik Stauskas,2.3,5.2,172,390,0.441025641025641,242,291,0.831615120274914,0.638,0.591,0.564,21,396,1121,0.353
Brian Roberts,2.3,5.3,293,665,0.440601503759399,365,430,0.848837209302326,0.596,0.554,0.461,26.8,217,610,0.356
Hollis Thompson,1.3,2.9,128,291,0.439862542955326,115,170,0.676470588235294,0.592,0.577,0.451,18.3,363,941,0.386
John Jenkins,3.1,7.1,306,699,0.437768240343348,320,374,0.855614973262032,0.648,0.607,0.634,24.2,117,319,0.367
Brandon Rush,1.9,4.3,205,471,0.435244161358811,200,273,0.732600732600733,0.558,0.535,0.395,21.8,522,1300,0.402
Darren Collison,1.2,2.7,164,377,0.435013262599469,349,410,0.851219512195122,0.594,0.544,0.318,21.8,635,1610,0.394
Bryn Forbes,2.3,5.4,324,745,0.43489932885906,288,351,0.82051282051282,0.611,0.578,0.592,20.8,430,1075,0.4
Quincy Acy,0,0.1,3,7,0.428571428571429,351,496,0.707661290322581,0.635,0.604,0.008,19.1,183,523,0.35
Langston Galloway,2.6,6.1,343,806,0.425558312655087,334,407,0.820638820638821,0.588,0.552,0.537,21,601,1637,0.367
Ian Clark,2.6,6,340,800,0.425,218,269,0.810408921933085,0.626,0.605,0.569,23.6,240,705,0.34
Lauri Markkanen,1.9,4.4,69,163,0.423312883435583,137,164,0.835365853658537,0.635,0.584,0.434,22.5,374,1050,0.356
Robert Covington,1.5,3.7,182,431,0.422273781902552,320,399,0.802005012531328,0.583,0.545,0.329,25.5,927,2606,0.356
Austin Daye,0.9,2.2,62,147,0.421768707482993,166,210,0.79047619047619,0.575,0.53,0.255,27.1,188,535,0.351
Luke Babbitt,1.1,2.6,75,178,0.421348314606742,351,393,0.893129770992366,0.591,0.52,0.192,26.8,394,979,0.402
Anthony Morrow,2.1,5,258,613,0.420880913539967,196,226,0.867256637168142,0.589,0.556,0.567,20.8,807,1937,0.417
Jeff Teague,1.3,3,77,183,0.420765027322404,293,361,0.811634349030471,0.586,0.518,0.268,24.3,672,1886,0.356
Frank Mason,1.3,3,185,440,0.420454545454545,482,633,0.761453396524487,0.574,0.524,0.328,21.8,51,171,0.298
Ben McLemore,2,4.7,73,174,0.419540229885057,120,138,0.869565217391304,0.633,0.586,0.435,23.2,620,1695,0.366
Isaiah Canaan,2.3,5.5,304,725,0.419310344827586,476,593,0.802698145025295,0.606,0.558,0.514,26.7,366,1042,0.351
Mario Chalmers,1.6,3.9,180,430,0.418604651162791,273,356,0.76685393258427,0.619,0.584,0.47,21.8,755,2153,0.351
Xavier Henry,1.9,4.6,69,165,0.418181818181818,90,115,0.782608695652174,0.591,0.555,0.466,23.4,41,126,0.325
Justise Winslow,1.2,2.8,46,110,0.418181818181818,100,156,0.641025641025641,0.572,0.551,0.309,22.9,190,563,0.337
Tyler Dorsey,2.1,5,155,373,0.415549597855228,216,295,0.732203389830509,0.591,0.558,0.496,22.6,116,331,0.35
Semi Ojeleye,1.4,3.4,81,195,0.415384615384615,186,237,0.784810126582278,0.618,0.567,0.421,24.9,116,341,0.34
Andrew Goudelock,2.8,6.8,396,958,0.413361169102296,263,314,0.837579617834395,0.574,0.552,0.458,28.2,29,84,0.345
Markelle Fultz,2.1,5,52,126,0.412698412698413,109,168,0.648809523809524,0.558,0.535,0.287,31.4,40,150,0.267
Cory Joseph,1.4,3.5,52,126,0.412698412698413,51,73,0.698630136986301,0.526,0.503,0.391,17.3,293,883,0.332
Lonzo Ball,2.2,5.4,80,194,0.412371134020619,66,98,0.673469387755102,0.673,0.668,0.566,18.1,313,918,0.341
Stephen Curry,4,9.7,414,1004,0.412350597609562,479,547,0.875685557586837,0.62,0.578,0.538,38.3,2495,5739,0.435
Devin Booker,1.5,3.7,58,141,0.411347517730496,53,64,0.828125,0.6,0.571,0.491,22.8,669,1890,0.354
D'Angelo Russell,2.7,6.6,95,231,0.411255411255411,118,156,0.756410256410256,0.573,0.541,0.449,30.2,747,2098,0.356
Brandon Ingram,2.2,5.4,80,195,0.41025641025641,116,170,0.682352941176471,0.552,0.525,0.403,25.6,277,770,0.36
O.J. Mayo,2.7,6.5,88,215,0.409302325581395,122,152,0.802631578947369,0.562,0.524,0.401,31.8,854,2287,0.373
Jamal Murray,3.1,7.7,113,277,0.407942238267148,119,152,0.782894736842105,0.59,0.559,0.515,27.1,544,1518,0.358
Denzel Valentine,1.8,4.5,265,650,0.407692307692308,222,285,0.778947368421053,0.569,0.544,0.497,22,262,715,0.366
Joe Harris,1.9,4.8,263,646,0.407120743034056,299,414,0.722222222222222,0.577,0.548,0.506,23.6,622,1459,0.426
Jerryd Bayless,2,4.8,59,145,0.406896551724138,187,223,0.838565022421525,0.612,0.536,0.384,29.2,499,1382,0.361
Markieff Morris,0.3,0.9,38,94,0.404255319148936,203,311,0.652733118971061,0.603,0.583,0.152,21.8,529,1534,0.345
George Hill,0.9,2.3,90,223,0.403587443946188,457,582,0.785223367697594,0.628,0.574,0.22,25.8,960,2499,0.384
Anthony Brown,1.5,3.8,218,541,0.402957486136784,308,410,0.751219512195122,0.556,0.518,0.447,20.1,28,98,0.286
Ty Lawson,1.1,2.6,112,278,0.402877697841727,337,432,0.780092592592593,0.624,0.579,0.31,21.5,473,1319,0.359
D.J. Augustin,1.6,4.1,119,296,0.402027027027027,323,400,0.8075,0.569,0.51,0.331,20.9,1111,2930,0.379
Caris LeVert,1.3,3.2,134,334,0.401197604790419,204,265,0.769811320754717,0.552,0.514,0.396,22.8,272,803,0.339
Courtney Lee,1.9,4.8,245,611,0.400981996726678,389,476,0.817226890756302,0.572,0.535,0.353,25.4,876,2259,0.388
Royce O'Neale,1.1,2.7,145,363,0.399449035812672,301,401,0.750623441396509,0.602,0.561,0.421,18.1,202,538,0.375
Yogi Ferrell,2,5,272,681,0.399412628487518,440,530,0.830188679245283,0.575,0.524,0.462,22.7,280,763,0.367
Cartier Martin,1.6,4,178,446,0.399103139013453,330,423,0.780141843971631,0.58,0.537,0.394,22.9,218,586,0.372
Malik Monk,2.7,6.9,104,262,0.396946564885496,148,180,0.822222222222222,0.586,0.543,0.47,27.2,250,777,0.322
Wayne Ellington,2,5,229,577,0.396880415944541,233,288,0.809027777777778,0.577,0.549,0.434,22.1,1016,2689,0.378
Ryan Anderson,1.8,4.7,122,308,0.396103896103896,276,328,0.841463414634146,0.605,0.554,0.356,29.4,1325,3491,0.38
Paul George,1.9,4.9,122,308,0.396103896103896,212,264,0.803030303030303,0.579,0.532,0.43,24.6,1590,4172,0.381
Rodney Hood,1.8,4.4,118,298,0.395973154362416,136,176,0.772727272727273,0.569,0.539,0.426,20.5,583,1566,0.372
Derrick White,1.7,4.2,57,144,0.395833333333333,148,182,0.813186813186813,0.627,0.578,0.356,25.3,135,371,0.364
Seth Curry,2.3,5.9,325,825,0.393939393939394,412,498,0.827309236947791,0.578,0.534,0.521,23.8,446,1007,0.443
Jimmer Fredette,2.1,5.4,296,752,0.393617021276596,627,711,0.881856540084388,0.596,0.535,0.408,30.5,193,519,0.372
Orlando Johnson,1.8,4.6,222,568,0.390845070422535,510,708,0.720338983050847,0.566,0.526,0.352,31.3,47,151,0.311
Damian Lillard,2.4,6.1,246,630,0.39047619047619,520,600,0.866666666666667,0.606,0.54,0.481,28.6,1776,4764,0.373
Buddy Hield,2.6,6.8,349,894,0.390380313199105,376,450,0.835555555555556,0.584,0.548,0.511,26.6,873,2126,0.411
Klay Thompson,2.5,6.3,242,620,0.390322580645161,316,382,0.827225130890052,0.55,0.509,0.438,31.9,1798,4291,0.419
Joe Young,2.2,5.6,288,739,0.389715832205683,460,519,0.886319845857418,0.586,0.537,0.43,25.3,40,135,0.296
Robbie Hummel,1.7,4.4,216,555,0.389189189189189,390,464,0.84051724137931,0.577,0.525,0.422,24.2,48,140,0.343
Josh Hart,1.4,3.6,207,532,0.389097744360902,360,500,0.72,0.614,0.589,0.401,22.7,291,825,0.353
Malik Beasley,1.6,4.2,55,142,0.387323943661972,104,128,0.8125,0.583,0.541,0.361,24.3,307,791,0.388
Reggie Bullock,1.9,4.9,188,486,0.386831275720165,85,118,0.720338983050847,0.568,0.555,0.596,18.2,397,1030,0.385
Fred VanVleet,1,2.6,141,365,0.386301369863014,372,462,0.805194805194805,0.551,0.491,0.336,21.1,377,960,0.393
Chasson Randle,2.1,5.5,304,787,0.386277001270648,551,684,0.805555555555556,0.566,0.514,0.443,25.9,62,164,0.378
Troy Daniels,2,5.2,251,650,0.386153846153846,68,87,0.781609195402299,0.567,0.553,0.851,20.9,555,1404,0.395
Spencer Dinwiddie,1.3,3.5,115,298,0.385906040268456,420,506,0.8300395256917,0.599,0.504,0.432,21.8,439,1379,0.318
Jodie Meeks,2.2,5.7,177,459,0.38562091503268,299,336,0.889880952380952,0.598,0.536,0.52,29.8,775,2078,0.373
Pat Connaughton,1.9,5,268,695,0.385611510791367,167,215,0.776744186046512,0.587,0.567,0.607,16.9,217,630,0.344
Jonathon Simmons,1.1,2.8,32,83,0.385542168674699,101,141,0.716312056737589,0.599,0.565,0.276,26.1,145,457,0.317
Jordan Crawford,1.7,4.4,109,284,0.383802816901408,166,217,0.764976958525346,0.555,0.523,0.352,27.4,330,1041,0.317
Luke Kennard,2,5.1,143,373,0.383378016085791,248,286,0.867132867132867,0.6,0.548,0.455,22.9,260,647,0.402
Chase Budinger,1.9,5,190,496,0.383064516129032,309,395,0.782278481012658,0.58,0.544,0.389,24.8,413,1172,0.352
Rashad Vaughn,2.3,6.1,54,141,0.382978723404255,68,98,0.693877551020408,0.547,0.521,0.43,30.8,83,265,0.313
Jimmy Butler,0.3,0.9,36,94,0.382978723404255,461,596,0.773489932885906,0.607,0.531,0.122,19,504,1514,0.333
Eric Bledsoe,1.3,3.5,49,128,0.3828125,82,123,0.666666666666667,0.566,0.54,0.41,20.4,682,2027,0.336
Patrick Beverley,2,5.2,138,361,0.382271468144044,197,270,0.72962962962963,0.56,0.521,0.53,19.7,693,1820,0.381
Allen Crabbe,2.1,5.6,209,547,0.382084095063985,262,320,0.81875,0.571,0.533,0.458,23.3,617,1596,0.387
Marcus Thornton,2.5,6.7,168,440,0.381818181818182,243,315,0.771428571428571,0.572,0.537,0.428,30.1,735,2051,0.358
Monte Morris,1.1,2.9,152,399,0.380952380952381,284,364,0.78021978021978,0.566,0.533,0.299,17.7,159,400,0.398
Rodney McGruder,1.4,3.7,188,494,0.380566801619433,252,332,0.759036144578313,0.557,0.527,0.393,21.3,191,569,0.336
Damyean Dotson,1.8,4.8,243,639,0.380281690140845,199,250,0.796,0.574,0.551,0.46,21.5,207,573,0.361
E'Twaun Moore,1.7,4.6,243,639,0.380281690140845,333,457,0.728665207877462,0.536,0.508,0.36,27.5,545,1397,0.39
Tony Snell,1.6,4.2,165,434,0.380184331797235,165,201,0.82089552238806,0.571,0.533,0.588,20.1,621,1611,0.385
T.J. McConnell,1,2.6,138,363,0.380165289256198,176,235,0.748936170212766,0.573,0.551,0.323,17.4,88,265,0.332
Nick Calathes,1.8,4.8,131,345,0.379710144927536,279,390,0.715384615384615,0.573,0.533,0.413,,30,104,0.288
Ryan Kelly,0.8,2.1,102,269,0.379182156133829,219,272,0.805147058823529,0.585,0.535,0.394,18.8,102,323,0.316
Tyus Jones,1.2,3.2,47,124,0.379032258064516,144,162,0.888888888888889,0.575,0.489,0.383,18.7,174,505,0.345
Michael Beasley,1.1,2.9,36,95,0.378947368421053,216,279,0.774193548387097,0.61,0.563,0.165,35,291,835,0.349
Darius Miller,1.2,3,175,462,0.378787878787879,185,227,0.814977973568282,0.568,0.537,0.467,17.3,327,856,0.382
Matthew Dellavedova,2.1,5.6,288,761,0.378449408672799,465,541,0.859519408502773,0.575,0.516,0.535,21.2,396,1075,0.368
Josh Jackson,1,2.6,34,90,0.377777777777778,98,173,0.566473988439306,0.559,0.552,0.21,27.2,153,514,0.298
Shabazz Muhammad,1.3,3.3,40,106,0.377358490566038,128,180,0.711111111111111,0.528,0.487,0.232,29.8,123,386,0.319
Bobby Brown,2.6,7,307,814,0.377149877149877,270,342,0.789473684210526,0.551,0.523,0.504,,96,303,0.317
CJ McCollum,2,5.2,217,576,0.376736111111111,610,739,0.825439783491204,0.563,0.501,0.33,32.4,1017,2563,0.397
Andrew Nicholson,0.2,0.6,29,77,0.376623376623377,456,633,0.720379146919431,0.616,0.585,0.055,29.1,87,271,0.321
Brandon Knight,2.3,6.1,87,231,0.376623376623377,136,171,0.795321637426901,0.553,0.508,0.45,27,711,2012,0.353
Jordan Hamilton,2.1,5.6,148,393,0.376590330788804,132,186,0.709677419354839,0.538,0.516,0.461,27.7,137,384,0.357
James Harden,1.5,3.9,102,271,0.376383763837638,373,494,0.755060728744939,0.618,0.568,0.329,30.5,2324,6394,0.363
Gary Harris,2.1,5.6,146,388,0.376288659793814,189,240,0.7875,0.571,0.533,0.495,24.6,541,1501,0.36
Taurean Waller-Prince,1,2.7,130,346,0.375722543352601,255,355,0.71830985915493,0.557,0.524,0.34,27.3,478,1305,0.366
Toney Douglas,1.8,4.9,240,639,0.375586854460094,462,576,0.802083333333333,0.56,0.513,0.382,25.9,444,1256,0.354
Shane Larkin,1.5,4,101,269,0.37546468401487,147,182,0.807692307692308,0.566,0.524,0.46,20.4,117,348,0.336
Quinn Cook,1.7,4.4,236,629,0.375198728139905,267,313,0.853035143769968,0.568,0.528,0.509,20.2,169,415,0.407
Shabazz Napier,1.8,4.8,260,693,0.375180375180375,509,626,0.813099041533546,0.562,0.501,0.479,24,345,1000,0.345
Anthony Bennett,1,2.7,36,96,0.375,124,177,0.700564971751412,0.609,0.58,0.253,27.5,36,138,0.261
Kyle Anderson,0.5,1.4,36,96,0.375,223,303,0.735973597359736,0.531,0.479,0.143,22.2,82,264,0.311
James Anderson,2.2,5.9,225,600,0.375,420,527,0.79696394686907,0.596,0.549,0.473,26.3,196,611,0.321
Zach LaVine,1.3,3.5,48,128,0.375,47,68,0.691176470588235,0.545,0.524,0.444,20.1,646,1721,0.375
Avery Bradley,1.2,3.3,42,112,0.375,36,66,0.545454545454545,0.496,0.489,0.304,20.4,744,2042,0.364
Danny Green,1.3,3.4,184,491,0.374745417515275,202,239,0.845188284518828,0.574,0.54,0.455,22.3,1283,3205,0.4
Solomon Hill,0.8,2.2,115,307,0.374592833876221,341,458,0.744541484716157,0.582,0.538,0.303,19.7,292,868,0.336
Georges Niang,1.4,3.6,188,502,0.374501992031872,342,448,0.763392857142857,0.583,0.556,0.296,26.9,134,346,0.387
Thomas Bryant,0.4,1.1,28,75,0.373333333333333,204,284,0.71830985915493,0.648,0.619,0.146,22.2,71,200,0.355
Chris Douglas-Roberts,0.7,1.8,73,196,0.372448979591837,362,499,0.725450901803607,0.611,0.575,0.191,26.7,84,255,0.329
Tyler Johnson,0.9,2.5,119,320,0.371875,249,348,0.71551724137931,0.543,0.511,0.297,21.5,385,1072,0.359
Tyler Cavanaugh,1.1,3,155,417,0.371702637889688,479,584,0.820205479452055,0.575,0.51,0.342,25.6,33,94,0.351
Lester Hudson,3.5,9.5,230,619,0.37156704361874,289,337,0.857566765578635,0.582,0.543,0.468,34.5,28,101,0.277
Tyler Ulis,1.2,3.3,88,237,0.371308016877637,209,247,0.846153846153846,0.563,0.499,0.39,19.3,63,225,0.28
Chris Johnson,1.7,4.6,236,636,0.371069182389937,295,357,0.826330532212885,0.58,0.535,0.581,21,104,339,0.307
Stanley Johnson,1.1,3.1,43,116,0.370689655172414,132,178,0.741573033707865,0.551,0.501,0.297,26.6,244,832,0.293
Eric Maynor,1.1,3,142,384,0.369791666666667,503,636,0.790880503144654,0.555,0.498,0.264,26.3,111,317,0.35
Ron Baker,2,5.3,242,655,0.369465648854962,350,437,0.80091533180778,0.579,0.534,0.544,22.1,35,132,0.265
Gordon Hayward,1.7,4.6,116,314,0.369426751592357,280,340,0.823529411764706,0.624,0.562,0.495,22.3,851,2327,0.366
Frank Kaminsky,0.7,1.9,103,279,0.369175627240143,297,389,0.763496143958869,0.609,0.573,0.275,25.5,379,1093,0.347
Jon Leuer,0.8,2.2,100,272,0.367647058823529,240,332,0.72289156626506,0.559,0.529,0.253,28.4,125,381,0.328
Trey Burke,1.8,5,133,362,0.367403314917127,226,291,0.776632302405498,0.556,0.519,0.374,27.4,480,1391,0.345
