player,cfg3_per_g,cfg3a_per_g,cfg3,cfg3a,cfg3_pct,cft,cfta,cft_pct,cts_pct,cefg_pct,cfg3a_per_fga_pct,cusg_pct,fg3,fg3a,fg3_pct
Joe Alexander,0.6,2.1,51,173,.295,205,268,.765,.522,.478,.211,27.6,16,47,.340
Ryan Anderson,1.8,4.7,122,308,.396,276,328,.841,.605,.554,.356,29.4,1325,3491,.380
Darrell Arthur,0.0,0.2,2,17,.118,144,213,.676,.564,.543,.025,26.0,161,458,.352
D.J. Augustin,1.6,4.1,119,296,.402,323,400,.808,.569,.510,.331,20.9,1111,2930,.379
Jerryd Bayless,2.0,4.8,59,145,.407,187,223,.839,.612,.536,.384,29.2,499,1382,.361
Michael Beasley,1.1,2.9,36,95,.379,216,279,.774,.610,.563,.165,35.0,291,835,.349
Bobby Brown,2.6,7.0,307,814,.377,270,342,.789,.551,.523,.504,,96,303,.317
Mario Chalmers,1.6,3.9,180,430,.419,273,356,.767,.619,.584,.470,21.8,755,2153,.351
Joe Crawford,1.5,4.2,186,532,.350,228,325,.702,.543,.518,.455,24.9,1,4,.250
Joey Dorsey,0.0,0.0,0,0,,197,469,.420,.571,.614,.000,14.8,0,1,.000
Chris Douglas-Roberts,0.7,1.8,73,196,.372,362,499,.725,.611,.575,.191,26.7,84,255,.329
J.R. Giddens,1.7,4.8,203,580,.350,186,309,.602,.549,.540,.435,22.8,0,10,.000
Eric Gordon,2.2,6.5,70,208,.337,231,277,.834,.601,.515,.489,30.8,1553,4201,.370
Donté Greene,2.6,7.5,90,261,.345,94,133,.707,.531,.505,.501,24.9,165,542,.304
Malik Hairston,1.2,3.1,145,367,.395,275,428,.643,.580,.564,.302,23.3,2,12,.167
Roy Hibbert,0.0,0.0,3,3,,327,481,.680,.626,.605,.003,24.6,6,24,.250
J.J. Hickson,0.0,0.0,0,1,.000,132,195,.677,.621,.591,.004,26.8,0,21,.000
George Hill,0.9,2.3,90,223,.404,457,582,.785,.628,.574,.220,25.8,960,2499,.384
Steven Hill,0.0,0.0,0,1,,83,160,.519,.582,.589,.003,11.3,0,0,
Othello Hunter,0.1,0.2,4,13,.308,91,151,.603,.594,.587,.031,,0,0,
Darnell Jackson,0.0,0.0,2,6,,224,327,.685,.613,.582,.011,18.6,4,17,.235
Dontell Jefferson,0.3,1.0,18,65,.277,63,94,.670,.490,.438,.351,14.4,1,2,.500
Trey Johnson,1.9,4.9,180,471,.382,502,668,.751,.538,.487,.303,21.5,1,3,.333
DeAndre Jordan,0.0,0.0,0,0,,52,119,.437,.580,.617,.000,,1,11,.091
Kosta Koufos,0.6,1.7,22,63,.349,68,100,.680,.551,.533,.144,,0,4,.000
Rob Kurz,0.7,1.6,72,176,.409,333,411,.810,.600,.524,.271,21.0,15,38,.395
Courtney Lee,1.9,4.8,245,611,.401,389,476,.817,.572,.535,.353,25.4,876,2259,.388
Brook Lopez,0.1,0.4,3,21,.143,198,259,.764,.532,.482,.031,31.4,538,1580,.341
Robin Lopez,0.0,0.0,1,2,.500,128,209,.612,.535,.512,.004,21.1,46,156,.295
Kevin Love,0.7,2.1,29,82,.354,198,258,.767,.644,.595,.202,27.0,1223,3302,.370
Cartier Martin,1.6,4.0,178,446,.399,330,423,.780,.580,.537,.394,22.9,218,586,.372
O.J. Mayo,2.7,6.5,88,215,.409,122,152,.803,.562,.524,.401,31.8,854,2287,.373
Luc Mbah a Moute,0.2,0.9,20,93,.215,177,265,.668,.544,.516,.127,17.7,207,619,.334
JaVale McGee,0.2,0.7,16,45,.356,90,175,.514,.557,.560,.104,25.1,5,33,.152
Anthony Morrow,2.1,5.0,258,613,.421,196,226,.867,.589,.556,.567,20.8,807,1937,.417
DeMarcus Nelson,1.0,2.7,124,332,.373,266,454,.586,.543,.527,.327,22.8,0,3,.000
Greg Oden,0.0,0.0,0,0,,123,196,.628,.626,.616,.000,,0,0,
Anthony Randolph,0.1,0.6,2,19,.105,115,166,.693,.511,.467,.048,28.0,20,83,.241
Derrick Rose,0.9,2.6,35,104,.337,146,205,.712,.560,.517,.239,26.0,469,1541,.304
Brandon Rush,1.9,4.3,205,471,.435,200,273,.733,.558,.535,.395,21.8,522,1300,.402
Walter Sharpe,0.0,0.1,0,3,,56,112,.500,.532,.534,.014,26.4,0,2,.000
Sean Singletary,1.8,5.0,222,614,.362,573,677,.846,.546,.476,.388,27.7,10,25,.400
Marreese Speights,0.0,0.0,0,0,,110,160,.688,.647,.633,.000,,232,651,.356
Mike Taylor,2.5,6.9,77,214,.360,88,129,.682,.495,.464,.487,,13,40,.325
